"episode","character","startmin","stopmin"
27,"Sarah",1.716666667,2.716666667
27,"Alison",2.716666667,5.7
27,"Cosima",5.7,8.316666667
27,"Alison",8.316666667,11.51666667
27,"Helena",14.06666667,15.68333333
27,"Alison",15.68333333,16.46666667
27,"Alison",16.75,17.86666667
27,"Cosima",17.86666667,18.23333333
27,"Cosima",18.23333333,18.6
27,"Cosima",18.6,19.6
27,"Rachel",19.91666667,21.01666667
27,"Cosima",21.01666667,21.65
27,"Alison",21.4,22.53333333
27,"Cosima",22.41666667,23
27,"Cosima",22.93333333,23
27,"Cosima",24.33333333,24.43333333
27,"Alison",24.43333333,24.53333333
27,"Cosima",24.53333333,24.7
27,"Rachel",24.7,25.18333333
27,"Alison",25.18333333,25.96666667
27,"Alison",26.71666667,27.53333333
27,"Alison",28.56666667,29.4
27,"Cosima",29.65,29.96666667
27,"Alison",29.96666667,30.26666667
27,"Cosima",30.56666667,30.93333333
27,"Cosima",31.5,33.15
27,"Alison",31.81666667,32.86666667
27,"Alison",33.15,33.66666667
27,"Sarah",33.66666667,34.1
27,"Alison",34.1,34.4
27,"Sarah",34.4,34.6
27,"Alison",34.6,34.96666667
27,"Sarah",34.73333333,35.23333333
27,"Alison",35.23333333,39.08333333
